correct_tick;navigate_1_sent;navigate_1_received;navigate_1_mssg_json;navigate_2_sent;navigate_2_received;navigate_2_mssg_json;navigate_3_sent;navigate_3_received;navigate_3_mssg_json;navigate_4_sent;navigate_4_received;navigate_4_mssg_json;navigate_5_sent;navigate_5_received;navigate_5_mssg_json;human_sent;human_received;human_mssg_json;human2_sent;human2_received;human2_mssg_json;world_nr;tick_nr
248;;;;;;;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 248;;Hello, my name is (human agent) human2 and I sent this message at tick 248;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 248"", ""from_id"": ""human2"", ""to_id"": ""human"", ""message_id"": ""e853201f094f9fe46edcb0d4de9bb872"", ""chat_mssg_count"": 6}";1;249
249;;;;;;;;;;;;;;;;;;;;;;1;250
250;;;;;;;;;;;;;;;;;;;;;;1;251
251;;;;;;;;;;;;;;;;;;;;;;1;252
252;;;;;;;;;;;;;;;;;;;;;;1;253
253;;;;;;;;;;;;;;;;;;;;;;1;254
254;;;;;;;;;;;;;;;;;;;;;;1;255
255;;;;;;;;;;;;;;;;;;;;;;1;256
256;;;;;;;;;;;;;;;;;;;;;;1;257
257;;;;;;;;;;;;;;;;;;;;;;1;258
258;;;;;;;;;;;;;;;;;;;;;;1;259
259;;;;;;;;;;;;;;;;;;;;;;1;260
260;;;;;;;;;;;;;;;;;;;;;;1;261
261;;;;;;;;;;;;;;;;;;;;;;1;262
262;;;;;;;;;;;;;;;;;;;;;;1;263
263;;;;;;;;;;;;;;;;;;;;;;1;264
264;;;;;;;;;;;;;;;;;;;;;;1;265
265;;;;;;;;;;;;;;;;;;;;;;1;266
266;;;;;;;;;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 266;Hello, my name is (human agent) human2 and I sent this message at tick 266;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 266"", ""from_id"": ""human2"", ""to_id"": ""human2"", ""message_id"": ""8f0312356079a15238634f2d113710c0"", ""chat_mssg_count"": 1}";1;267
267;;;;;;;;;;;;;;;;;;;;;;1;268
268;;;;;;;;;;;;;;;;;;;;;;1;269
269;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 269;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 269;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 269"", ""from_id"": ""human2"", ""to_id"": ""navigate_4"", ""message_id"": ""2dcb372679bc45d7f79e9bc7903912b4"", ""chat_mssg_count"": 2}";1;270
270;;;;;;;;;;;;;;;;;;;;;;1;271
271;;;;;;;;;;;;;;;;;;;;;;1;272
272;;;;;;;;;;;;;;;;;;;;;;1;273
273;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 273;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 273;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 273"", ""from_id"": ""human2"", ""to_id"": ""navigate_3"", ""message_id"": ""2d0c7fcff4f8c80e0bc835242492ace1"", ""chat_mssg_count"": 7}";1;274
274;;;;;;;;;;;;;;;;;;;;;;1;275
275;;;;;;;;;;;;;;;;;;;;;;1;276
276;;;;;;;;;;;;;;;;;;;;;;1;277
277;;;;;;;;;;;;;;;;;;;;;;1;278
278;;Hello, my name is (human agent) human2 and I sent this message at tick 278;;;;;;;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 278;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 278"", ""from_id"": ""human2"", ""to_id"": ""navigate_1"", ""message_id"": ""ab000f607d7c8839030b72d5fcd5980c"", ""chat_mssg_count"": 4}";1;279
279;;;;;;;;;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 279;Hello, my name is (human agent) human2 and I sent this message at tick 279;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 279"", ""from_id"": ""human2"", ""to_id"": ""human2"", ""message_id"": ""ed10a13fa12c263365f08c34df9faa8"", ""chat_mssg_count"": 2}";1;280
280;;;;;;;;;;;;;;;;;;;;;;1;281
281;;;;;;;;;;;;;;;;;;;;;;1;282
282;;;;;;;;;;;;;;;;;;;;;;1;283
283;;;;;;;;;;;;;;;;;;;;;;1;284
284;;;;;;;;;;;;;;;;;;;;;;1;285
285;;;;;;;;;;;;;;;;;;;;;;1;286
286;;;;;;;;;;;;;;;;;;;;;;1;287
287;;;;;;;;;;;;;;;;Hello, my name is (human agent) human and I sent this message at tick 287;Hello, my name is (human agent) human and I sent this message at tick 287;"{""content"": ""Hello, my name is (human agent) human and I sent this message at tick 287"", ""from_id"": ""human"", ""to_id"": ""human"", ""message_id"": ""c156a9c3147bfd25c5c0e970dc0ced00"", ""chat_mssg_count"": 1}";;;;1;288
288;;;;;;;;;;;;;;;;;;;;;;1;289
